sequence_id,date
A/Yamaguchi/12/2017,2017.045
A/Norway/3591/2016,2016.387
A/Lao/77/2017,2017.023
A/HongKong/223/2017,2017.023
A/Sichuan-Dongqu/SWL11082/2017,2017.484
A/NewZealand/971/2017,2017.53
A/Tokyo/16493/2016,2016.919
A/Oita/23/2016,2016.745
A/Lao/2618/2016,2016.66
A/Lao/9/2016,2016.996
A/Yasothon/404/2016,2016.818
A/Brisbane/181/2015,2015.763
A/Singapore/TT1354/2015,2015.977
A/Victoria/2159/2015,2015.793
A/Michigan/45/2015,2015.684
A/Michigan/45/2015-egg,2015.684
A/Ireland/280/2016,2016.045
A/Aragon/1615/2015,2015.744
A/Mie/20/2015,2015.695
A/Congo/873/2016,2016.403
A/Lithuania/6173/2016,2016.133
A/Nepal/41/2016,2016.026
A/Oman/5450/2015,2015.793
A/Morocco/344/2016,2016.078
A/Townsville/1/2016,2016.081
A/Tunisia/3002/2016,2016.154
A/Moldova/702/2016,2016.031
A/Montenegro/324/2016,2016.212
A/Singapore/GP1908/2015-egg,2015.842
A/Singapore/GP1908/2015,2015.842
A/Singapore/TT0962/2016,2016.556
A/Colombia/1466/2016,2016.895
A/Afghanistan/92/2016,2016.463
A/Bolivia/714/2017,2017.399
A/Pernambuco/138700/2016,2016.075
A/Brazil/1168/2016,2016.417
A/Paraiba/140914-IEC/2016,2016.354
A/Vrancea/190182/2016,2016.048
A/Shizuoka-C/58/2016,2016.608
A/Peru/716/2016,2016.72
A/Yokohama/98/2016,2016.157
A/Tomsk/1767/2016,2016.116
A/Vietnam/GHS741/2017,2017.552
A/Vietnam/Lisn214/2017,2017.716
A/Vologda/CRIE-06/2015,2015.936
A/Vladivostok/RII833/2016,2016.253
A/Yunnan-Simao/1989/2016,2016.895
A/SuratThani/428/2016,2016.862
A/Sydney/1001/2017,2017.264
A/Paris/804/2017,2017.1
A/Slovenia/2903/2015-egg,2015.911
A/Slovenia/2903/2015,2015.818
A/Austria/883648/2015,2015.768
A/Newcastle/65/2015,2015.933
A/Slovenia/77/2016,2016.02
A/Victoria/2018/2016,2016.225
A/Victoria/501/2016,2016.392
A/Novosibirsk/121/2016,2016.788
A/Ontario/RV3089/2016,2016.717
A/SaudiArabia/192788/2016,2016.701
A/Victoria/15/2016,2016.477
A/Victoria/640/2016,2016.876
A/NewZealand/967/2016,2016.695
A/NewZealand/841/2016,2016.643
A/Bulgaria/897/2016,2016.22
A/Colombia/3732/2017,2017.316
A/Norway/4555/2016,2016.851
A/Norway/4463/2016,2016.821
A/Yokohama/111/2016,2016.209
A/Suriname/1295/2016,2016.154
A/Suriname/1437/2016,2016.316
A/Ecuador/33/2017,2017.037
A/Tarragona/641151NS/2016,2016.165
A/Poland/6A031/2016,2016.133
A/Oman/5450/2016,2016.504
A/Antsirabe/5602/2016,2016.747
