sequence_id,date
A/Washington/37/2015,2015.344
A/Norway/2590/2015,2015.615
A/Uganda/215/2017,2017.059
A/Uganda/1610/2016,2016.116
A/Sendai-H/N280/2015,2015.558
A/Nebraska/19/2015,2015.81
A/Yokohama/109/2016,2016.184
A/SouthAfrica/R2665/2015,2015.396
A/Wellington/7/2015,2015.459
A/Townsville/37/2015,2015.796
A/Townsville/38/2015,2016.086
A/Wellington/4/2015,2015.538
A/Victoria/898/2015,2015.648
A/India/609/2015,2015.141
A/Michigan/15/2014,2014.999
A/HongKong/7127/2014-egg,2014.999
A/NewCaledonia/71/2014-egg,2016.327
A/Ordu/1603/2014,2014.834
A/Yokohama/81/2015,2015.166
A/Yokohama/88/2015,2015.3
A/Saitama/103/2014-egg,2014.878
A/Saitama/103/2014,2014.878
A/Yokohama/184/2014,2014.982
A/Yokohama/97/2014,2014.867
A/Victoria/509/2015,2015.311
A/Yokohama/5/2015,2015.015
A/Yokohama/55/2015,2015.089
A/Thailand/CU-B11843/2015,2015.308
A/Wyoming/2/2015,2015.04
A/Tehran/106491/2015,2015.303
A/SouthAfrica/5390/2015,2015.656
A/Bulgaria/477/2015,2015.158
A/Thailand/CU-B11518/2015,2015.051
A/Vologda/CRIE-22/2015,2015.062
A/Fiji/2/2015,2015.166
A/Wisconsin/69/2015,2015.497
A/Athens/2584/2016,2016.138
A/Parana/293/2016,2016.239
A/Yokohama/123/2016,2016.411
A/SouthAfrica/4363/2016,2016.493
A/Texas/183/2016,2016.665
A/Peru/8316/2016,2016.633
A/Valparaiso/33881/2016,2016.376
A/Vina/50464/2016,2016.537
A/Valparaiso/49572/2016,2016.447
A/Vietnam/171/2015,2015.242
A/Finland/504/2015,2015.034
A/Bulgaria/482/2015,2015.171
A/Ghana/FS-15-0773/2015,2015.96
A/Marseille/2588/2015,2015.914
A/Serbia/2059/2016,2016.225
A/Picardie/973/2017,2017.119
A/Dakar/17/2016,2016.668
A/Extremadura/390/2017,2017.021
A/UlanUde/1/2016,2016.933
A/Tunisia/15302/2017,2016.99
A/Tunis/14115/2016,2016.914
A/Tanzania/4357/2017,2017.237
A/Tanzania/4390/2017,2017.292
A/Antananarivo/1998/2017,2017.336
A/Kazakhstan/6975/2017,2017.032
A/Khakassia/CRIE-360/2017,2017.464
A/Singapore/TT1374/2016,2016.917
A/Maryland/23/2016,2016.903
A/Taipei/123/2017,2017.092
A/Lao/753/2017,2017.158
A/Nonthaburi/414/2016,2016.876
A/Moscow/165/2016,2016.9
A/Ghana/2717/2017,2017.705
A/Volgograd/RII745S/2016,2016.824
A/Moscow/46/2017,2017.144
A/Iasi/3816/2016,2016.993
A/California/179/2016,2016.922
A/Moldova/14006/2017,2017.1
A/Maldives/158/2017,2017.144
A/Maldives/499/2017,2017.221
A/Ohio/31/2017,2017.563
A/NewZealand/671/2017,2017.492
A/Wellington/5/2017,2017.41
A/Cameroon/4372/2018,2018.295
A/Togo/1048/2017,2017.81
A/Yokohama/112/2018,2018.842
A/Mali/235/2018,2018.867
A/Mali/57/2018,2018.768
A/Zhejiang-Shangcheng/1153/2018,2018.144
A/Yunnan-Gucheng/1887/2018,2018.87
A/HongKong/4994/2017,2017.963
A/Townsville/16/2017,2017.911
A/Choibalsan/3093/2017,2017.925
A/Taiwan/1445/2017,2017.853
A/Congo/319/2018,2018.41
A/Congo/422/2018,2018.522
A/Congo/735/2018,2018.99
A/Norway/3319/2014,2014.963
A/Bulgaria/490/2015,2015.174
A/Wisconsin/24/2015,2015.185
A/Stavropol/8/2015,2015.941
A/Wisconsin/9/2015,2015.133
A/NewJersey/26/2014,2014.878
A/Victoria/73/2015,2015.722
A/Yekaterinburg/239/2015,2015.174
A/YoshkarOla/CRIE-80/2015,2015.149
A/Ukraine/6784/2015,2015.245
A/HongKong/7127/2014,2014.574
A/Sweden/77/2014,2014.963
A/Taiwan/596/2015,2015.297
A/Toyama/107/2015,2015.368
A/Wyoming/18/2015,2015.725
A/England/54020563/2015,2015.73
A/Trencin/558/2015,2015.147
A/Valparaiso/50323/2015,2015.56
A/Valparaiso/42142/2015,2015.475
A/Guangdong/724/2015,2015.626
A/Montana/28/2015,2015.73
A/Alaska/240/2015,2015.705
A/Guangdong/616/2015,2015.514
A/Vietnam/106/2015,2015.574
A/Vietnam/95/2015,2015.478
A/Taiwan/805/2015,2015.426
A/Washington/45/2015,2015.456
A/Tokyo/15347/2015,2015.771
A/Wakayama-C/105/2015,2015.623
A/Victoria/922/2015,2015.234
A/Wellington/1/2015,2015.092
A/Hessen/49/2015,2015.862
A/Oman/5287/2015,2015.607
A/SouthAfrica/6131/2015,2015.747
A/Brandenburg/48/2015,2015.875
A/Tunisia/12370/2015,2015.768
A/SaudiArabia/78764/2015,2015.733
A/Bangladesh/914007/2015,2015.716
A/Bangladesh/9015/2015,2015.659
A/Sydney/530/2014,2014.925
A/Wyoming/20/2014,2014.938
A/Wisconsin/66/2015,2015.303
A/RioGrandeDoNorte/134696-IEC/2015,2015.267
A/Slovenia/2975/2015,2015.87
A/Norway/2573/2015,2015.549
A/Alaska/140/2015,2015.61
A/PuertoMontt/73064/2015,2015.741
A/Norway/2571/2015,2015.538
A/Trinidad/187/2016,2016.018
A/Trinidad/2603/2015,2015.966
A/Wyoming/19/2015,2015.84
A/Washington/77/2015,2015.988
A/Victoria/455/2015,2015.955
A/Vietnam/GS150287/2015,2015.377
A/Finland/526/2015,2015.281
A/SaoPaulo/3-32002/2015,2015.388
A/Sydney/9/2016,2016.02
A/Vietnam/GS150761/2015,2015.719
A/Vietnam/GS151050/2015,2015.826
A/Vietnam/6058/2016,2016.392
A/Vietnam/6038/2016,2016.515
A/Kazakhstan/53/2015,2015.897
A/Vietnam/157/2015,2015.582
A/Yunnan-Wenshan/1893/2015,2015.856
A/Yunnan-Linxiang/1718/2016,2016.439
A/NewYork/78/2016,2016.318
A/Bangladesh/5008/2015,2015.782
A/Vietnam/172/2015,2015.848
A/Italy-FVG/105/2015,2015.9
A/SriLanka/63/2015,2016.086
A/Santiago/24151/2016,2016.277
A/Tsaralalana/2054/2016,2016.335
A/Victoria/7/2016,2016.43
A/Kenya/23/2016,2016.78
A/Seoul/1595/2015,2015.703
A/Tianjin-Baodi/1165/2017,2017.163
A/Kawasaki/109/2016,2016.526
A/Washington/16/2017,2017.067
A/Trang/51/2017,2017.39
A/Trang/87/2017,2017.464
A/HongKong/2302/2016,2016.575
A/HongKong/247/2017,2017.021
A/Zhejiang-Jiaojiang/1255/2017,2017.281
A/Victoria/1/2017,2017.193
A/Yunnan-Xianggelila/1375/2017,2017.393
A/Brisbane/321/2016,2016.966
A/Brisbane/318/2016,2016.947
A/NorthCarolina/4/2017,2017.07
A/Yokohama/131/2017,2017.286
A/Zhejiang-Nanhu/1679/2017,2017.637
A/Nebraska/2/2017,2017.026
A/Zambia/305/2017,2017.867
A/Wisconsin/19/2017-egg,2017.062
A/Norway/4465/2016-egg,2016.999
A/Peru/3817/2017,2017.933
A/Iceland/137/2017,2017.988
A/Niedersachsen/187/2017,2017.914
A/Denmark/98/2017,2017.968
A/Lithuania/MB10238/2018,2018.24
A/Moscow/149/2018,2018.275
A/Iceland/95/2018,2018.382
A/Iceland/94/2018,2018.371
A/Montenegro/41/2017,2017.993
A/Dnipropetrovsk/416/2018,2018.311
A/Tyumen/RII-2/2018,2018.442
A/Finland/921/2018,2018.289
A/NewZealand/783/2017,2017.511
A/Uruguay/170/2017,2017.412
A/Ireland/28834/2018,2018.199
A/Suriname/2354/2017,2017.925
A/Brazil/8164/2017,2017.725
A/VinaDelMar/60406/2018,2018.555
A/Finland/912/2018,2018.19
A/Townsville/1000/2018,2018.127
A/Bretagne/1565/2017-egg,2018.834
A/Switzerland/882/2017,2017.777
A/Bretagne/1413/2017,2017.771
A/Paris/1362/2017,2017.7
A/Switzerland/8060/2017,2017.999
A/Switzerland/8060/2017-egg,2017.992
A/MinasGerais/39/2018,2018.034
A/Brisbane/117/2018,2018.568
A/PuertoRico/21/2018,2018.492
A/NewMexico/14/2018,2018.147
A/Paraguay/9159/2018,2018.193
A/Arizona/37/2018,2018.396
A/Wisconsin/335/2017,2017.851
A/Kharkiv/266/2018,2018.289
A/SuratThani/83/2018,2018.251
A/Sachsen/47/2018,2018.179
A/Brisbane/1/2018,2018.004
A/Brisbane/36/2018,2018.226
A/Finland/18/2019,2019.078
A/Yokohama/199/2017,2017.936
A/Rancagua/54068/2018,2018.486
A/Bahrain/449/2018,2018.604
A/Peru/769818/2018,2018.807
A/Slovenia/2792/2017,2017.993
A/AltoHospicio/37840/2018,2018.297
A/Yokohama/53/2018,2018.19
A/Wakayama/62/2018,2018.086
A/Loei/1152/2018,2018.462
A/Yokohama/100/2018,2018.738
A/Yasothon/21/2019,2019.007
A/Yokohama/14/2018,2018.04
A/Yamanashi/18202/2018,2018.308
A/Christchurch/504/2018,2018.599
A/Victoria/908/2018,2018.738
A/Victoria/909/2018,2018.821
A/Miyazaki/72/2018,2018.5
A/Wisconsin/4/2018,2018.004
A/Victoria/2020/2018,2018.396
A/Kanagawa/ZC1735/2018,2018.604
A/HongKong/656/2018,2018.264
A/Sapporo/51/2018,2018.423
A/Brisbane/1/2018-egg,2018.826
A/Yokohama/111/2018,2018.801
A/Philippines/464/2018,2018.344
A/Virginia/24/2018,2018.199
A/Sapporo/45/2018,2018.33
A/Taiwan/81101/2018,2018.812
A/Taiwan/80749/2018,2018.514
A/Yamaguchi/28/2015,2015.933
A/SriLanka/61/2015,2015.911
A/Yokohama/81/2016,2016.116
A/Yokohama/102/2015,2015.884
A/Wakayama-C/103/2015,2015.489
A/HongKong/50/2016-egg,2015.996
A/Singapore/INFTT-16-0083/2016,2016.059
A/Slovenia/39/2016,2016.015
A/Victoria/2015/2016,2016.204
A/Bulgaria/920/2016,2016.225
A/Alaska/232/2015-egg,2015.999
A/Yunnan-Qilin/1902/2015,2015.733
A/Alaska/232/2015,2015.705
A/Yokohama/119/2016,2016.277
A/Ontario/RV2414/2015,2015.864
A/Yunnan-Zhaoyang/11110/2015,2015.941
A/NorthCarolina/4/2016,2016.034
A/Talca/14380/2016,2016.16
A/Yokohama/4/2016,2016.026
A/Tianjin-Nankai/1405/2016,2016.184
A/Sichuan-Jinjiang/8156/2016,2016.305
A/HongKong/1706/2016,2016.367
A/Tochigi/16153/2016,2016.458
A/Ecuador/1614/2017,2017.281
A/SriLanka/39/2016,2016.908
A/SriLanka/49/2016,2016.755
A/SriLanka/45/2016,2016.96
